Classification Report:
              precision    recall  f1-score   support

           0       0.99      0.97      0.98      4004
           1       0.83      0.96      0.89       691

    accuracy                           0.97      4695
   macro avg       0.91      0.96      0.94      4695
weighted avg       0.97      0.97      0.97      4695

ROC AUC Score: 0.9930
ROC curve saved as 'logistic_regression_roc_curve.png'

Incorrectly Classified Discourse Markers:
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'ah oh well I thought like a music stand type thing but then you do n't do music-y things'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'it 's got like a video of you and --ANONnameM doing the thing over the massive bouncy balls which is actually quite cool'
Word: usually, True Label: 1, Predicted Label: 0, Sentence: 'but you do n't usually see it around'
Word: no, True Label: 0, Predicted Label: 1, Sentence: 'no idea'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'no not in the one that I like going in'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'I thought I got it for you guys last time maybe maybe it did n't go down that well cos it was too sweet for you or something like that but it 's like milk chocolate and it 's very sweet'
Word: no, True Label: 0, Predicted Label: 1, Sentence: 'one with like no sulphites or anything in it'
Word: once, True Label: 0, Predicted Label: 1, Sentence: 'we could play it now in fact in a minute once we 've cleared away all this craziness'
Word: no, True Label: 0, Predicted Label: 1, Sentence: 'but I du n no'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'no it 's like from this mm Naked Wines place'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'd' you like sherry --ANONnameM ? d' you want this sherry ?'
Word: quite, True Label: 0, Predicted Label: 1, Sentence: 'did n't actually notice the orangey-ness that much though it was it was quite nice I think it tempered the sprouts'
Word: apparently, True Label: 1, Predicted Label: 0, Sentence: 'apparently it 's not the tastiest thing'
Word: apparently, True Label: 1, Predicted Label: 0, Sentence: 'and all of the rest of his meals are milkshakes and he 's been on that for about three months and apparently the first couple of weeks were a little bit weird and his body was adjusting to'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'but like if you do n't chew like the mechanical action of chewing sets off enzymes and stuff in your stomach and that does n't it ?'
Word: so, True Label: 0, Predicted Label: 1, Sentence: 'but er I thought that of the of the designs and the colours this one looked really good on the website and then when it arrived it took like over a month to arrive and so I I thought I would have time to change it but I did n't cos it took so long to arrive and actually it does n't look anywhere near as good as it did on the website so mm you can change it er'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'do I like sherry ?'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'oh they 're very I was genuinely thinking about cos I saw --ANONnameF had some like on the end of her bed when I went in and checked it out and redecorated'
Word: well, True Label: 0, Predicted Label: 1, Sentence: 'yeah I suppose technically my work shoes are kind of like slippers cos I only really wear them at work indoors I bet I think Forbidden Island 'll be a good one to do later as well cos'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'yeah he 's been pooping a lot erm no it 's just like a food replacement thing sort of like er sort of like a Weight Watchers type shake except'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'but it 's still a bit like well we 'll have to like go from the house and'
Word: so, True Label: 0, Predicted Label: 1, Sentence: 'set in the fantasy land of Hyrule and centres on a boy named Link who I 've mentioned about seven times this holiday no more than that so many more than that I 've sang the songs'
Word: alright, True Label: 1, Predicted Label: 0, Sentence: 'alright thanks'
Word: significantly, True Label: 1, Predicted Label: 0, Sentence: 'and it 's yeah I well I bought some like red ballet shoes from TK Maxx not long ago but like I overspent at TK Maxx quite significantly'
Word: well, True Label: 0, Predicted Label: 1, Sentence: 'ah that was a good one as well'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'mm so d' you like those ones ?'
Word: well, True Label: 0, Predicted Label: 1, Sentence: 'because erm I know they 're --UNCLEARWORD as well cos your mum got the'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'I do n't know like fifty'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'no I think actually I thought from like first viewing I thought they were too square toed but actually once they 're on they kinda stretch out a bit'
Word: no, True Label: 0, Predicted Label: 1, Sentence: 'no we did n't no'
Word: well, True Label: 0, Predicted Label: 1, Sentence: 'I think one of the best hot tubs I ever went in was the muddiest as well'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'no no no paper for me thank you erm yeah --ANONnameM they have like the reason I I say if you wan na like swap your T-shirt because like they had on the same website they had like a watch one which was like my watch it was like John Stark and it said like he was the six hundred and ninety-ninth erm commander and let my watch begin or what have you'
Word: quite, True Label: 0, Predicted Label: 1, Sentence: 'or forest but they 're quite similar'
Word: usually, True Label: 1, Predicted Label: 0, Sentence: 'this one is enough in the public knowledge well no it 's not but how many rows of aliens are there usually at the start of a Space Invaders game ?'
Word: alright, True Label: 1, Predicted Label: 0, Sentence: 'ultimately ? alright I 'm on this'
Word: quite, True Label: 0, Predicted Label: 1, Sentence: 'possibly not quite three no probably three --UNCLEARWORD'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'that 's more of a like'
Word: recently, True Label: 1, Predicted Label: 0, Sentence: 'erm but d' you know I 've noticed recently I do n't know if you guys have ? I have been on the quest for organic wine now in Brighton it was quite easy to come by anyway especially in like some of the smaller shops but you used to be able to get it in the supermarkets you also used to like'
Word: right, True Label: 0, Predicted Label: 1, Sentence: 'out that 's not right'
Word: well, True Label: 0, Predicted Label: 1, Sentence: 'I was thinking we should probably do a mid-year Christmas as well cos I think once a year is not enough'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'you have to like'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'but only like a gravy and hidden yeah'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'cos there 'd be like one or two'
Word: quite, True Label: 0, Predicted Label: 1, Sentence: 'well it does seem to have coincided like quite well with that but then they stuck all kinds of other completely unnecessary things anyway'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'like neither of us really like getting pruny and that seems to happen like within two minutes of being in a bath so it 's like well we 've gone to all this effort building a fire like making it all like this and like'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'oh very good oh yeah that 's like that 's proper from Yorkshire that is I 've never had it but it looks I know you guys like your sort of pickledy condiments so I thought'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'no also it 's not it 's not just yourself it 's more like the people who are like in there as well who are like looking at you'
Word: no, True Label: 0, Predicted Label: 1, Sentence: 'no prezzie'
Word: so, True Label: 0, Predicted Label: 1, Sentence: 'team player game so like and I think from reading all the reviews and stuff basically your time runs out with it'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'yeah so he eats like a couple of meals a week'
Word: even, True Label: 0, Predicted Label: 1, Sentence: 'also like just being around somebody else 's house even though you 've been asked to look after like I would always be suspicious that other neighbours would be thinking there 's a burglar in'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'but also that 's very much like I could get down with that because I like that 's very similar to like what you do in an onsen in Japan and you 'd you 'd actually like clean yourself in an indoor shower whatever and then you 'd go out there'
Word: quite, True Label: 0, Predicted Label: 1, Sentence: 'it had like quite a lot of I do n't think sediment is the word I think sediment is another thing'
Word: well, True Label: 0, Predicted Label: 1, Sentence: 'I know why you 've got those as well'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'maybe they 'll like the mead that you 've made'
Word: so, True Label: 0, Predicted Label: 1, Sentence: 'which is nice in summer not so much in the winter'
Word: somehow, True Label: 1, Predicted Label: 0, Sentence: 'smoothies just like weird somehow'
Word: completely, True Label: 1, Predicted Label: 0, Sentence: 'completely wrong way off the mark'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'so what so if that 's the case why why are the bottles like that ?'
Word: so, True Label: 0, Predicted Label: 1, Sentence: 'it 's such a terrible game it 's so so dangerous'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'like it was really budget wrapping paper as well it was n't like some luxury like'
Word: enormously, True Label: 1, Predicted Label: 0, Sentence: 'I have skiing socks on and just the most enormously warm slippers'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'oh very good oh yeah that 's like that 's proper from Yorkshire that is I 've never had it but it looks I know you guys like your sort of pickledy condiments so I thought'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'you see sometimes I 'm just like at the office I 'm like this is the only thing I 've got to look forward to I 'm getting hungry'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'I thought it 's a nice like sort of hallway or even like bathroom or whatever but it 's a bit of a'
Word: no, True Label: 0, Predicted Label: 1, Sentence: 'unless you were recording no'
Word: no, True Label: 0, Predicted Label: 1, Sentence: 'because like and you have to ask yes or no questions to get it'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'but it 's not always like it depends on how you like your wine basically'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'well yeah seems like the first kind of like really good --UNCLEARWORD'
Word: no, True Label: 0, Predicted Label: 1, Sentence: 'no no no paper for me thank you erm yeah --ANONnameM they have like the reason I I say if you wan na like swap your T-shirt because like they had on the same website they had like a watch one which was like my watch it was like John Stark and it said like he was the six hundred and ninety-ninth erm commander and let my watch begin or what have you'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'those I if if you do n't want them and you 've got too many pairs and what have you that 's fine they were like erm from an upcycle thing they 're not like bought straight from a shop but they are brand new'
Word: equally, True Label: 1, Predicted Label: 0, Sentence: 'now equally actually this is a bit of a free-for-all in itself I originally bought these two things in the other way around but I 've since decided that this is the better way around but if you'
Word: too, True Label: 1, Predicted Label: 0, Sentence: 'but then that 's also a bit weird too'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'I quite like the idea'
Word: nutritionally, True Label: 1, Predicted Label: 0, Sentence: 'but it 's like fully nutritionally balanced'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'it 's a game you can tell there 's like like a little ridge in the box that you know'
Word: so, True Label: 0, Predicted Label: 1, Sentence: 'but I did n't at least I did n't do loads of them so that we did n't have to have loads of yucky sprout leftovers'
Word: just, True Label: 0, Predicted Label: 1, Sentence: 'and now he just feels like better than ever like he 's just'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'yeah whereas like an outdoor bath thing I would go in naked'
Word: quite, True Label: 0, Predicted Label: 1, Sentence: 'well that 's quite nice'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'well I use gib in a very different like meaning the word so I 'm gon na go with what the popular consensus is'
Word: long, True Label: 0, Predicted Label: 1, Sentence: 'it 's four it 's four because the the long one is only four blocks long'
Word: so, True Label: 0, Predicted Label: 1, Sentence: 'I usually have greens every day and have n't had so many of them recently'
Word: no, True Label: 0, Predicted Label: 1, Sentence: 'I du n no some kind of horn that 's not an artificial thing'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'the Stark the Stark design was really shit it was like some really amateur football team or something the Stark design it was really rubbish'
Word: no, True Label: 0, Predicted Label: 1, Sentence: 'no er cherry ?'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'yeah I know who was it who said that no like chocolate and cheese do n't go ?'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'yeah I can see the attraction for people like'
Word: quite, True Label: 0, Predicted Label: 1, Sentence: 'that was quite cool but erm mm see I find like like I think going in water or somewhere steamy naked is is like a bit better than being like butt naked in a sauna'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'cos it it 'll probably bring out the grain a bit more as well just like a thin coat of'
Word: jeez, True Label: 1, Predicted Label: 0, Sentence: 'oh oh my god is that ? jeez Louise'
Word: quite, True Label: 0, Predicted Label: 1, Sentence: 'and so you 're like yeah it it keeps it quite like fast paced'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'you like them ? yeah ?'
Word: quite, True Label: 0, Predicted Label: 1, Sentence: 'er I du n no quite what I 've done with the'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'and before she 's asked any questions like it 's Mother Theresa'
Word: huh, True Label: 1, Predicted Label: 0, Sentence: 'huh'
Word: once, True Label: 0, Predicted Label: 1, Sentence: 'once you 've got it like you 've got ta be stay in there for a while and that 's a bit weird round someone 's house is n't it ?'
Word: though, True Label: 0, Predicted Label: 1, Sentence: 'also like just being around somebody else 's house even though you 've been asked to look after like I would always be suspicious that other neighbours would be thinking there 's a burglar in'
Word: no, True Label: 0, Predicted Label: 1, Sentence: 'there was no response on Facebook'
Word: so, True Label: 0, Predicted Label: 1, Sentence: 'yeah these are gon na be great travel slippers cos they fold down so well'
Word: okay, True Label: 0, Predicted Label: 1, Sentence: 'yeah we were just saying mm the sprouts were okay because you did n't have to avoid them on the'
Word: well, True Label: 0, Predicted Label: 1, Sentence: 'nice that is nice wine as well thank you very much it 's quite nice is n't it ?'
Word: clearly, True Label: 1, Predicted Label: 0, Sentence: 'clearly not chocolate coated Brazil nuts'
Word: like, True Label: 0, Predicted Label: 1, Sentence: '--UNCLEARWORD shake it does n't sound like something that should be shaken'
Word: so, True Label: 0, Predicted Label: 1, Sentence: 'and so you 're like yeah it it keeps it quite like fast paced'
Word: no, True Label: 0, Predicted Label: 1, Sentence: 'du n no'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'but er I thought that of the of the designs and the colours this one looked really good on the website and then when it arrived it took like over a month to arrive and so I I thought I would have time to change it but I did n't cos it took so long to arrive and actually it does n't look anywhere near as good as it did on the website so mm you can change it er'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'the the cork 's like the vulnerable thing is n't it ? that 's like the thing'
Word: completely, True Label: 1, Predicted Label: 0, Sentence: 'well it does seem to have coincided like quite well with that but then they stuck all kinds of other completely unnecessary things anyway'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'it 'll need to start like earlier like'
Word: though, True Label: 0, Predicted Label: 1, Sentence: 'yeah it 's weird though you 're thinking it 's not weird because it was weird but since they 're not there it'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'oh no sherry I do n't want that d' you like sherry ?'
Word: no, True Label: 0, Predicted Label: 1, Sentence: 'I have like tomato ketchup emergencies if I run out of tomato ketchup like if I make a fish finger sandwich for example and then you 've got no ketchup'
